      DATE,  TIME, Fcst,  Obs
01.07.2012, 03:00, 17.7, 13.4
01.07.2012, 06:00, 20.1, 22.4
01.07.2012, 09:00, 24.3, 25.0
01.07.2012, 12:00, 25.8, 26.4
01.07.2012, 15:00, 24.8, 26.2
01.07.2012, 18:00, 20.6, 23.1
01.07.2012, 21:00, 17.9, 17.2
02.07.2012, 00:00, 17.0, 14.1
02.07.2012, 03:00, 16.3, 12.9
02.07.2012, 06:00, 22.1, 24.2
02.07.2012, 09:00, 27.5, 27.2
02.07.2012, 12:00, 29.7, 29.2
02.07.2012, 15:00, 29.2, 29.6
02.07.2012, 18:00, 24.7, 25.6
02.07.2012, 21:00, 21.3, 20.6
03.07.2012, 00:00, 19.9, 17.2
03.07.2012, 03:00, 19.6, 17.6
03.07.2012, 06:00, 24.8, 24.0
03.07.2012, 09:00, 28.0, 30.4
03.07.2012, 12:00, 31.5, 31.5
03.07.2012, 15:00, 30.2, 30.5
03.07.2012, 18:00, 25.8, 26.8
03.07.2012, 21:00, 22.6, 22.7
04.07.2012, 00:00, 20.7, 20.6
04.07.2012, 03:00, 21.5, 20.0
04.07.2012, 06:00, 23.6, 23.9
04.07.2012, 09:00, 27.7, 28.3
04.07.2012, 12:00, 27.7, 30.0
04.07.2012, 15:00, 28.2, 29.9
04.07.2012, 18:00, 25.2, 26.7
04.07.2012, 21:00, 22.3, 23.2
05.07.2012, 00:00, 20.1, 20.6
05.07.2012, 03:00, 20.1, 18.9
05.07.2012, 06:00, 24.3, 24.0
05.07.2012, 09:00, 27.4, 26.8
05.07.2012, 12:00, 29.0, 29.2
05.07.2012, 15:00, 28.7, 29.4
05.07.2012, 18:00, 24.2, 25.8
05.07.2012, 21:00, 21.4, 20.2
06.07.2012, 00:00, 19.9, 18.8
06.07.2012, 03:00, 21.8, 18.4
06.07.2012, 06:00, 25.7, 25.2
06.07.2012, 09:00, 28.4, 29.8
06.07.2012, 12:00, 29.7, 31.2
06.07.2012, 15:00, 30.3, 31.8
06.07.2012, 18:00, 25.7, 28.2
06.07.2012, 21:00, 23.5, 24.5
07.07.2012, 00:00, 21.8, 21.2
07.07.2012, 03:00, 21.7, 19.6
07.07.2012, 06:00, 27.3, 25.3
07.07.2012, 09:00, 32.5, 31.0
07.07.2012, 12:00, 32.3, 33.2
07.07.2012, 15:00, 32.1, 29.1
07.07.2012, 18:00, 27.0, 26.2
07.07.2012, 21:00, 23.8, 22.0
08.07.2012, 00:00, 22.9, 20.0
08.07.2012, 03:00, 23.8, 19.2
08.07.2012, 06:00, 28.7, 27.5
08.07.2012, 09:00, 32.0, 31.7
08.07.2012, 12:00, 32.0, 33.6
08.07.2012, 15:00, 30.4, 33.5
08.07.2012, 18:00, 26.9, 28.9
08.07.2012, 21:00, 24.1, 22.9
09.07.2012, 00:00, 22.5, 20.6
09.07.2012, 03:00, 23.1, 21.7
09.07.2012, 06:00, 28.8, 28.4
09.07.2012, 09:00, 32.9, 32.8
09.07.2012, 12:00, 35.7, 35.2
09.07.2012, 15:00, 32.3, 32.8
09.07.2012, 18:00, 28.4, 25.0
09.07.2012, 21:00, 25.5, 22.7
10.07.2012, 00:00, 24.5, 20.2
10.07.2012, 03:00, 23.4, 19.2
10.07.2012, 06:00, 28.4, 21.8
10.07.2012, 09:00, 29.8, 25.0
