      DATE,  TIME,  Fcst, Obs
01.11.2018, 03:00,   5.1, 8.0
01.11.2018, 06:00,   5.2, 7.4
01.11.2018, 09:00,   5.8, 6.2
01.11.2018, 12:00,   6.6, 6.3
01.11.2018, 15:00,   6.6, 6.4
01.11.2018, 18:00,   6.1, 5.8
01.11.2018, 21:00,   5.0, 5.4
02.11.2018, 00:00,   4.5, 5.2
02.11.2018, 03:00,   2.7, 5.8
02.11.2018, 06:00,   2.6, 5.6
02.11.2018, 09:00,   4.4, 5.6
02.11.2018, 12:00,   5.2, 7.1
02.11.2018, 15:00,   4.5, 6.5
02.11.2018, 18:00,   4.6, 6.4
02.11.2018, 21:00,   4.6, 6.6
03.11.2018, 00:00,   5.3, 5.6
03.11.2018, 03:00,   3.8, 5.6
03.11.2018, 06:00,   4.3, 5.8
03.11.2018, 09:00,   5.5, 5.7
03.11.2018, 12:00,   6.0, 5.5
03.11.2018, 15:00,   6.5, 5.8
03.11.2018, 18:00,   6.5, 5.4
03.11.2018, 21:00,   6.3, 4.9
04.11.2018, 00:00,   6.4, 5.0
04.11.2018, 03:00,   5.1, 6.9
04.11.2018, 06:00,   5.9, 8.2
04.11.2018, 09:00,   7.6, 8.3
04.11.2018, 12:00,   8.3, 8.9
04.11.2018, 15:00,   7.9, 9.0
04.11.2018, 18:00,   6.7, 8.8
04.11.2018, 21:00,   5.8, 9.3
05.11.2018, 00:00,   5.1, 9.1
05.11.2018, 03:00,   5.0, 8.6
05.11.2018, 06:00,   5.4, 8.3
05.11.2018, 09:00,   6.1, 7.9
05.11.2018, 12:00,   5.8, 7.3
05.11.2018, 15:00,   5.4, 5.5
05.11.2018, 18:00,   4.0, 4.4
05.11.2018, 21:00,   3.4, 4.5
06.11.2018, 00:00,   2.4, 2.5
06.11.2018, 03:00,   1.4, 1.6
06.11.2018, 06:00,   1.7, 2.5
06.11.2018, 09:00,   2.6, 4.9
06.11.2018, 12:00,   2.6, 5.5
