    DATE,      TG
19610101,    -1.3
19610102,    -1.6
19610103,    -0.7
19610104,     3.0
19610105,     5.8
19610106,     3.4
19610107,     0.8
19610108,    -0.5
19610109,     1.0
19610110,     1.6
19610111,     1.4
19610112,     0.9
19610113,    -1.3
19610114,    -0.1
19610115,    -0.6
19610116,    -1.4
19610117,    -8.9
19610118,   -12.4
19610119,   -14.2
19610120,   -13.9
19610121,   -14.3
19610122,   -13.1
19610123,    -9.0
19610124,   -10.6
19610125,    -9.1
19610126,   -13.6
19610127,    -9.1
19610128,    -8.4
19610129,    -7.9
19610130,    -3.3
19610131,    -1.2
19610201,     0.9
19610202,     0.6
19610203,     0.4
19610204,     0.4
19610205,    -0.5
19610206,    -3.4
19610207,    -6.1
19610208,    -7.1
19610209,    -4.4
19610210,    -3.0
19610211,    -3.4
19610212,    -4.9
19610213,    -2.8
19610214,    -0.6
19610215,    -1.9
19610216,     2.0
19610217,     0.4
19610218,     1.1
19610219,     2.6
19610220,     1.1
19610221,     0.3
19610222,     1.0
19610223,     1.0
19610224,    -1.7
19610225,    -0.6
19610226,    -2.4
19610227,    -2.2
19610228,    -2.2
19610301,    -1.4
19610302,     1.7
19610303,     1.4
19610304,     0.5
19610305,     0.7
19610306,     2.8
19610307,     1.9
19610308,     2.8
19610309,     1.5
19610310,     6.9
19610311,     7.9
19610312,     7.6
19610313,     6.4
19610314,     0.8
19610315,     2.3
19610316,     1.0
19610317,    -0.1
19610318,     8.0
19610319,     8.9
19610320,     2.6
19610321,     1.0
19610322,     4.0
19610323,     0.3
19610324,     4.1
19610325,     4.6
19610326,     4.5
19610327,     7.3
19610328,     3.4
19610329,     1.4
19610330,     4.2
19610331,     6.8
19610401,     3.4
19610402,     5.1
19610403,     6.8
19610404,    11.9
19610405,     6.8
19610406,    13.1
19610407,    17.0
19610408,    17.6
19610409,     9.0
19610410,     3.8
19610411,     5.8
19610412,     6.6
19610413,     6.6
19610414,    12.5
19610415,    12.0
19610416,    16.3
19610417,    15.4
19610418,    13.0
19610419,    14.7
19610420,    11.2
19610421,     6.1
19610422,     6.4
19610423,     8.2
19610424,     8.4
19610425,    10.5
19610426,     8.8
19610427,     8.1
19610428,     9.1
19610429,     8.3
19610430,     6.5
19610501,     9.4
19610502,    12.6
19610503,    13.4
19610504,    14.0
19610505,    14.0
19610506,    16.6
19610507,    16.8
19610508,    14.2
19610509,    10.1
19610510,    10.8
19610511,    11.6
19610512,    11.6
19610513,     9.3
19610514,    11.9
19610515,    12.0
19610516,    12.2
19610517,    11.7
19610518,    10.8
19610519,     9.6
19610520,    13.0
19610521,    11.8
19610522,    10.6
19610523,    12.2
19610524,    12.9
19610525,    15.4
19610526,    13.4
19610527,    15.2
19610528,    15.2
19610529,    18.4
19610530,    19.4
19610531,    18.1
19610601,    19.8
19610602,    19.9
19610603,    21.4
19610604,    18.0
19610605,    17.6
19610606,    18.8
19610607,    20.5
19610608,    21.6
19610609,    21.8
19610610,    23.2
19610611,    19.3
19610612,    19.4
19610613,    20.3
19610614,    21.4
19610615,    19.4
19610616,    17.7
19610617,    17.6
19610618,    18.3
19610619,    22.2
19610620,    19.4
19610621,    17.6
19610622,    19.6
19610623,    20.6
19610624,    19.9
19610625,    20.6
19610626,    23.6
19610627,    26.2
19610628,    27.4
19610629,    17.5
19610630,    17.4
19610701,    20.2
19610702,    21.2
19610703,    23.4
19610704,    25.8
19610705,    26.6
19610706,    20.3
19610707,    18.3
19610708,    17.4
19610709,    19.4
19610710,    16.3
19610711,    16.2
19610712,    17.4
19610713,    22.0
19610714,    22.0
19610715,    18.6
19610716,    21.5
19610717,    21.1
19610718,    20.0
19610719,    19.2
19610720,    17.9
19610721,    17.0
19610722,    18.0
19610723,    18.5
19610724,    19.2
19610725,    18.8
19610726,    16.8
19610727,    18.5
19610728,    22.5
19610729,    24.2
19610730,    25.8
19610731,    26.3
19610801,    19.9
19610802,    20.4
19610803,    23.6
19610804,    20.7
19610805,    19.4
