      DATE,  TIME,   Fcst,    Obs
02.11.2018, 03:00, 1033.2, 1032.8
02.11.2018, 06:00, 1033.3, 1033.3
02.11.2018, 09:00, 1032.8, 1032.9
02.11.2018, 12:00, 1031.9,   1032
02.11.2018, 15:00, 1031.7, 1031.8
02.11.2018, 18:00, 1031.9, 1031.8
02.11.2018, 21:00, 1032.1, 1032.2
03.11.2018, 00:00, 1031.6, 1031.8
03.11.2018, 03:00, 1030.6, 1031.1
03.11.2018, 06:00, 1030.6, 1031.3
03.11.2018, 09:00, 1029.9, 1031.1
03.11.2018, 12:00, 1028.7, 1029.9
03.11.2018, 15:00, 1027.7, 1029.2
03.11.2018, 18:00, 1027.3, 1028.9
03.11.2018, 21:00, 1027.2,   1029
04.11.2018, 00:00, 1026.7, 1028.3
04.11.2018, 03:00, 1027.3, 1027.9
04.11.2018, 06:00, 1028.0, 1028.2
04.11.2018, 09:00, 1028.4, 1028.8
04.11.2018, 12:00, 1028.0, 1028.6
04.11.2018, 15:00, 1027.8, 1028.8
04.11.2018, 18:00, 1028.3, 1029.1
04.11.2018, 21:00, 1028.6, 1029.7
05.11.2018, 00:00, 1028.7, 1029.5
05.11.2018, 03:00, 1029.0, 1029.7
05.11.2018, 06:00, 1029.6, 1030.3
05.11.2018, 09:00, 1029.8, 1030.6
05.11.2018, 12:00, 1029.7, 1029.9
05.11.2018, 15:00, 1029.4, 1029.8
05.11.2018, 18:00, 1029.8, 1029.9
05.11.2018, 21:00, 1030.5, 1030.1
06.11.2018, 00:00, 1031.0,      n
06.11.2018, 03:00, 1029.5,      n
06.11.2018, 06:00, 1030.1,      n
06.11.2018, 09:00, 1030.3,      n
06.11.2018, 12:00, 1029.8,      n
06.11.2018, 15:00, 1029.2,      n
06.11.2018, 18:00, 1029.4,      n
06.11.2018, 21:00, 1029.8,      n
07.11.2018, 00:00, 1029.9, 1029.6
07.11.2018, 03:00, 1029.0, 1029.2
07.11.2018, 06:00, 1029.4, 1029.6
07.11.2018, 09:00, 1029.4, 1029.2
07.11.2018, 12:00, 1028.7, 1027.3
07.11.2018, 15:00, 1028.0, 1027.1
07.11.2018, 18:00, 1028.2, 1027.2
07.11.2018, 21:00, 1028.5, 1027.6
08.11.2018, 00:00, 1028.4, 1027.1
08.11.2018, 03:00, 1026.9,   1027
08.11.2018, 06:00, 1027.2, 1027.8
08.11.2018, 09:00, 1027.2, 1027.1
08.11.2018, 12:00, 1026.5, 1025.6
08.11.2018, 15:00, 1026.0, 1025.1
08.11.2018, 18:00, 1025.8, 1025.3
08.11.2018, 21:00, 1026.0, 1025.6
09.11.2018, 00:00, 1025.6, 1025.4
09.11.2018, 03:00, 1024.7, 1025.2
09.11.2018, 06:00, 1025.0, 1025.5
09.11.2018, 09:00, 1025.4, 1025.1
09.11.2018, 12:00, 1024.8, 1023.7
09.11.2018, 15:00, 1024.1, 1023.3
09.11.2018, 18:00, 1024.3, 1023.6
09.11.2018, 21:00, 1024.6, 1023.7
10.11.2018, 00:00, 1024.3, 1023.4
10.11.2018, 03:00, 1023.0, 1023.4
10.11.2018, 06:00, 1023.4, 1023.8
10.11.2018, 09:00, 1023.4, 1023.9
10.11.2018, 12:00, 1023.3, 1023.1
10.11.2018, 15:00, 1023.5, 1023.8
10.11.2018, 18:00, 1024.4, 1024.5
10.11.2018, 21:00, 1025.4, 1025.8
11.11.2018, 00:00, 1026.2, 1026.6
11.11.2018, 03:00, 1026.1, 1027.8
11.11.2018, 06:00, 1027.6, 1029.6
11.11.2018, 09:00, 1029.4, 1030.9
11.11.2018, 12:00, 1030.1, 1031.7
11.11.2018, 15:00, 1031.2, 1032.5
11.11.2018, 18:00, 1032.8, 1033.2
11.11.2018, 21:00, 1034.2,   1034
12.11.2018, 00:00, 1035.2, 1034.4
12.11.2018, 03:00, 1033.9, 1034.8
12.11.2018, 06:00, 1035.4, 1036.5
12.11.2018, 09:00, 1036.1, 1037.2
12.11.2018, 12:00, 1036.7, 1037.6
12.11.2018, 15:00, 1037.0, 1038.3
12.11.2018, 18:00, 1037.9, 1039.3
12.11.2018, 21:00, 1038.6, 1039.6
13.11.2018, 00:00, 1038.9, 1039.7
13.11.2018, 03:00, 1039.0, 1040.1
13.11.2018, 06:00, 1039.2, 1040.1
13.11.2018, 09:00, 1038.4, 1039.3
13.11.2018, 12:00, 1036.9,   1037
13.11.2018, 15:00, 1035.8, 1036.1
13.11.2018, 18:00, 1034.8, 1035.4
13.11.2018, 21:00, 1033.7, 1033.8
14.11.2018, 00:00, 1031.7, 1031.8
14.11.2018, 03:00, 1028.7, 1029.3
14.11.2018, 06:00, 1027.2, 1027.9
14.11.2018, 09:00, 1026.3, 1026.6
14.11.2018, 12:00, 1024.9,   1025
14.11.2018, 15:00, 1024.3, 1024.3
14.11.2018, 18:00, 1024.1, 1023.9
14.11.2018, 21:00, 1024.3, 1024.2
15.11.2018, 00:00, 1024.4, 1024.3
15.11.2018, 03:00, 1024.0, 1025.1
15.11.2018, 06:00, 1026.4, 1026.9
15.11.2018, 09:00, 1028.4, 1028.6
15.11.2018, 12:00, 1029.7, 1030.3
15.11.2018, 15:00, 1031.4, 1032.4
