      DATE,  TIME, Fcst,  Obs
01.07.2012, 03:00, 17.4, 13.7
01.07.2012, 06:00, 19.6, 22.3
01.07.2012, 09:00, 24.5, 25.5
01.07.2012, 12:00, 25.8, 26.2
01.07.2012, 15:00, 25.1, 26.3
01.07.2012, 18:00, 21.5, 23.7
01.07.2012, 21:00, 19.6, 18.1
02.07.2012, 00:00, 18.8, 15.6
02.07.2012, 03:00, 16.9, 14.8
02.07.2012, 06:00, 21.5, 23.4
02.07.2012, 09:00, 26.6, 27.2
02.07.2012, 12:00, 29.0, 29.3
02.07.2012, 15:00, 28.7, 30.1
02.07.2012, 18:00, 25.6, 26.8
02.07.2012, 21:00, 23.1, 21.0
03.07.2012, 00:00, 20.5, 20.2
03.07.2012, 03:00, 20.4, 20.6
03.07.2012, 06:00, 23.9, 26.1
03.07.2012, 09:00, 28.5, 29.4
03.07.2012, 12:00, 30.4, 30.4
03.07.2012, 15:00, 29.2, 30.2
03.07.2012, 18:00, 25.1, 26.8
03.07.2012, 21:00, 22.3, 23.3
04.07.2012, 00:00, 20.7, 21.7
04.07.2012, 03:00, 22.1, 20.4
04.07.2012, 06:00, 24.3, 23.7
04.07.2012, 09:00, 25.5, 27.9
04.07.2012, 12:00, 28.1, 29.4
04.07.2012, 15:00, 28.0, 29.3
04.07.2012, 18:00, 25.1, 26.6
04.07.2012, 21:00, 22.7, 23.2
05.07.2012, 00:00, 20.5, 21.0
05.07.2012, 03:00, 20.8, 19.4
05.07.2012, 06:00, 24.4, 24.5
05.07.2012, 09:00, 26.1, 27.3
05.07.2012, 12:00, 28.4, 29.2
05.07.2012, 15:00, 26.7, 29.9
05.07.2012, 18:00, 24.5, 27.4
05.07.2012, 21:00, 22.0, 24.5
06.07.2012, 00:00, 20.6, 22.0
06.07.2012, 03:00, 21.1, 21.2
06.07.2012, 06:00, 25.0, 25.3
06.07.2012, 09:00, 27.6, 29.2
06.07.2012, 12:00, 29.5, 31.5
06.07.2012, 15:00, 27.3, 31.2
06.07.2012, 18:00, 26.3, 28.5
06.07.2012, 21:00, 23.7, 25.8
07.07.2012, 00:00, 21.6, 23.3
07.07.2012, 03:00, 22.3, 22.2
07.07.2012, 06:00, 26.5, 26.5
07.07.2012, 09:00, 31.4, 31.3
07.07.2012, 12:00, 31.9, 33.6
07.07.2012, 15:00, 31.4, 32.9
07.07.2012, 18:00, 28.0, 28.1
07.07.2012, 21:00, 25.5, 25.2
08.07.2012, 00:00, 23.2, 23.2
08.07.2012, 03:00, 24.6, 21.7
08.07.2012, 06:00, 27.6, 27.2
08.07.2012, 09:00, 28.8, 31.3
08.07.2012, 12:00, 30.7, 32.9
08.07.2012, 15:00, 29.0, 32.2
08.07.2012, 18:00, 27.6, 28.5
08.07.2012, 21:00, 24.9, 25.6
09.07.2012, 00:00, 23.5, 22.8
09.07.2012, 03:00, 23.4, 21.2
09.07.2012, 06:00, 27.4, 27.3
09.07.2012, 09:00, 32.2, 32.8
09.07.2012, 12:00, 32.9, 33.0
09.07.2012, 15:00, 31.2, 32.5
09.07.2012, 18:00, 28.7, 23.5
09.07.2012, 21:00, 25.7, 20.9
10.07.2012, 00:00, 24.5, 19.7
10.07.2012, 03:00, 24.4, 19.1
10.07.2012, 06:00, 27.0, 23.0
10.07.2012, 09:00, 27.0, 26.1
10.07.2012, 12:00, 28.0, 26.3
10.07.2012, 15:00, 25.8, 26.4
10.07.2012, 18:00, 25.9, 25.0
10.07.2012, 21:00, 24.4, 22.5
11.07.2012, 00:00, 22.9, 20.6
11.07.2012, 03:00, 21.4, 19.8
11.07.2012, 06:00, 22.9, 23.7
11.07.2012, 09:00, 25.5, 26.2
11.07.2012, 12:00, 27.3, 25.4
11.07.2012, 15:00, 27.2, 23.9
11.07.2012, 18:00, 25.4, 22.3
11.07.2012, 21:00, 23.1, 20.0
12.07.2012, 00:00, 20.9, 19.1
12.07.2012, 03:00, 20.2, 17.7
12.07.2012, 06:00, 23.4, 22.9
12.07.2012, 09:00, 24.9, 27.2
12.07.2012, 12:00, 28.6, 29.5
12.07.2012, 15:00, 28.0, 29.2
12.07.2012, 18:00, 24.8, 21.4
12.07.2012, 21:00, 23.0, 18.9
13.07.2012, 00:00, 22.3, 18.3
13.07.2012, 03:00, 20.6, 18.5
13.07.2012, 06:00, 20.9, 20.5
13.07.2012, 09:00, 24.0, 25.2
13.07.2012, 12:00, 26.1, 25.7
13.07.2012, 15:00, 25.6, 26.6
13.07.2012, 18:00, 22.4, 23.3
13.07.2012, 21:00, 19.1, 16.7
14.07.2012, 00:00, 17.2, 14.4
14.07.2012, 03:00, 17.8, 13.8
14.07.2012, 06:00, 21.9, 22.4
14.07.2012, 09:00, 25.8, 27.0
14.07.2012, 12:00, 24.8, 29.3
14.07.2012, 15:00, 26.3, 29.5
14.07.2012, 18:00, 24.6, 27.5
14.07.2012, 21:00, 22.6, 21.7
15.07.2012, 00:00, 21.5, 21.9
15.07.2012, 03:00,    n, 20.9
15.07.2012, 06:00,    n, 22.6
15.07.2012, 09:00,    n, 29.6
15.07.2012, 12:00,    n, 26.7
15.07.2012, 15:00,    n, 26.7
15.07.2012, 18:00,    n, 23.9
15.07.2012, 21:00,    n, 21.9
16.07.2012, 00:00,    n, 21.3
16.07.2012, 03:00, 19.4, 19.2
16.07.2012, 06:00, 17.8, 22.4
16.07.2012, 09:00, 23.4, 22.7
16.07.2012, 12:00, 25.9, 22.7
16.07.2012, 15:00, 23.1, 22.6
16.07.2012, 18:00, 21.1, 20.2
16.07.2012, 21:00, 19.0, 18.1
17.07.2012, 00:00, 17.8, 15.1
17.07.2012, 03:00, 17.2, 14.3
17.07.2012, 06:00, 18.7, 18.3
17.07.2012, 09:00, 21.6, 21.6
17.07.2012, 12:00, 22.2, 22.7
17.07.2012, 15:00, 20.7, 22.1
17.07.2012, 18:00, 17.8, 19.8
17.07.2012, 21:00, 16.0, 16.7
18.07.2012, 00:00, 15.0, 15.2
18.07.2012, 03:00, 15.7, 14.4
18.07.2012, 06:00, 16.8, 17.2
18.07.2012, 09:00, 19.1, 20.3
18.07.2012, 12:00, 21.7, 22.1
18.07.2012, 15:00, 20.8, 22.3
18.07.2012, 18:00, 17.4, 18.0
18.07.2012, 21:00, 14.6, 14.0
19.07.2012, 00:00, 13.1, 14.3
19.07.2012, 03:00, 14.6, 14.4
19.07.2012, 06:00, 18.1, 18.5
19.07.2012, 09:00, 22.6, 24.6
19.07.2012, 12:00, 22.2, 26.9
19.07.2012, 15:00, 25.4, 27.5
19.07.2012, 18:00, 22.8, 24.2
19.07.2012, 21:00, 20.7, 20.8
20.07.2012, 00:00, 19.7, 21.2
20.07.2012, 03:00, 18.7, 19.3
20.07.2012, 06:00, 18.6, 20.4
20.07.2012, 09:00, 24.4, 21.9
20.07.2012, 12:00, 25.5, 26.2
20.07.2012, 15:00, 24.8, 26.8
20.07.2012, 18:00, 20.9, 23.4
20.07.2012, 21:00, 17.8, 18.5
21.07.2012, 00:00, 15.8, 15.7
21.07.2012, 03:00, 16.9, 14.2
21.07.2012, 06:00, 20.0, 21.4
21.07.2012, 09:00, 19.6, 22.2
21.07.2012, 12:00, 18.0, 23.1
21.07.2012, 15:00, 18.9, 19.7
21.07.2012, 18:00, 18.1, 15.3
21.07.2012, 21:00, 17.2, 15.6
22.07.2012, 00:00, 16.5, 14.8
22.07.2012, 03:00, 15.9, 14.2
22.07.2012, 06:00, 17.3, 16.4
22.07.2012, 09:00, 20.3, 20.0
22.07.2012, 12:00, 21.0, 20.8
22.07.2012, 15:00, 22.2, 18.6
22.07.2012, 18:00, 20.8, 18.0
22.07.2012, 21:00, 19.6, 16.8
23.07.2012, 00:00, 17.5, 16.2
23.07.2012, 03:00, 16.0, 15.8
23.07.2012, 06:00, 18.3, 17.9
23.07.2012, 09:00, 21.9, 22.4
23.07.2012, 12:00, 25.6, 24.7
23.07.2012, 15:00, 25.1, 25.4
23.07.2012, 18:00, 21.2, 22.5
23.07.2012, 21:00, 18.2, 18.9
24.07.2012, 00:00, 16.1, 16.4
24.07.2012, 03:00, 15.0, 15.5
24.07.2012, 06:00, 19.2, 19.8
24.07.2012, 09:00, 24.1, 24.2
24.07.2012, 12:00, 26.0, 25.8
24.07.2012, 15:00, 25.3, 25.8
24.07.2012, 18:00, 21.4, 23.1
24.07.2012, 21:00, 18.7, 17.7
25.07.2012, 00:00, 16.8, 15.3
25.07.2012, 03:00, 16.1, 14.5
25.07.2012, 06:00, 20.4, 22.2
25.07.2012, 09:00, 25.9, 27.1
25.07.2012, 12:00, 28.2, 28.8
25.07.2012, 15:00, 27.6, 29.2
25.07.2012, 18:00, 23.7, 25.5
25.07.2012, 21:00, 21.1, 21.1
26.07.2012, 00:00, 19.3, 18.6
26.07.2012, 03:00, 18.5, 16.5
26.07.2012, 06:00, 22.8, 23.8
26.07.2012, 09:00, 28.6, 30.7
26.07.2012, 12:00, 31.2, 32.0
26.07.2012, 15:00, 30.1, 32.1
26.07.2012, 18:00, 26.0, 28.2
26.07.2012, 21:00, 23.3, 23.9
27.07.2012, 00:00, 21.6, 21.1
27.07.2012, 03:00, 21.3, 20.2
27.07.2012, 06:00, 25.0, 25.7
27.07.2012, 09:00, 30.5, 31.2
27.07.2012, 12:00, 32.7, 32.2
27.07.2012, 15:00, 31.4, 32.4
27.07.2012, 18:00, 27.3, 28.5
27.07.2012, 21:00, 24.4, 25.2
28.07.2012, 00:00, 22.4, 23.2
28.07.2012, 03:00, 21.7, 20.9
28.07.2012, 06:00, 25.5, 25.2
28.07.2012, 09:00, 31.1, 31.1
28.07.2012, 12:00, 32.2, 33.0
28.07.2012, 15:00, 30.2, 33.1
28.07.2012, 18:00, 26.7, 28.8
28.07.2012, 21:00, 24.0, 23.4
29.07.2012, 00:00, 22.1, 21.4
29.07.2012, 03:00, 20.9, 20.2
29.07.2012, 06:00, 25.0, 26.1
29.07.2012, 09:00, 31.0, 31.2
29.07.2012, 12:00, 32.6, 33.7
29.07.2012, 15:00, 31.4, 33.0
29.07.2012, 18:00, 27.4, 28.3
29.07.2012, 21:00, 24.1, 23.5
30.07.2012, 00:00, 21.5, 21.4
30.07.2012, 03:00, 20.2, 19.6
30.07.2012, 06:00, 23.8, 24.8
30.07.2012, 09:00, 29.9, 29.8
30.07.2012, 12:00, 32.9, 32.3
30.07.2012, 15:00, 31.6, 32.8
30.07.2012, 18:00, 27.6, 28.1
30.07.2012, 21:00, 24.5, 23.9
31.07.2012, 00:00, 22.3, 21.4
31.07.2012, 03:00, 21.8, 19.7
31.07.2012, 06:00, 25.4, 26.2
31.07.2012, 09:00, 31.0, 31.5
31.07.2012, 12:00, 33.0, 33.1
31.07.2012, 15:00, 31.3, 30.8
31.07.2012, 18:00, 26.5, 26.7
31.07.2012, 21:00, 23.6, 21.3
01.08.2012, 00:00, 22.6, 19.0
01.08.2012, 03:00, 22.4, 18.6
01.08.2012, 06:00, 25.6, 23.9
01.08.2012, 09:00, 30.5, 29.7
01.08.2012, 12:00, 32.3, 31.2
01.08.2012, 15:00, 30.9, 30.2
01.08.2012, 18:00, 26.0, 26.1
01.08.2012, 21:00, 23.8, 23.1
02.08.2012, 00:00, 21.5, 21.3
02.08.2012, 03:00, 20.1, 19.7
02.08.2012, 06:00, 24.3, 23.9
02.08.2012, 09:00, 30.2, 30.3
02.08.2012, 12:00, 28.7, 32.6
02.08.2012, 15:00, 25.9, 27.7
02.08.2012, 18:00, 24.5, 25.1
02.08.2012, 21:00, 23.1, 22.7
03.08.2012, 00:00, 22.4, 20.6
03.08.2012, 03:00, 22.3, 19.7
03.08.2012, 06:00, 25.4, 22.8
03.08.2012, 09:00, 30.3, 30.3
03.08.2012, 12:00, 31.7, 31.6
03.08.2012, 15:00, 28.7, 29.6
03.08.2012, 18:00, 25.5, 26.2
03.08.2012, 21:00, 23.9, 22.3
04.08.2012, 00:00, 22.8, 19.8
04.08.2012, 03:00, 23.0, 18.5
04.08.2012, 06:00, 25.7, 25.2
04.08.2012, 09:00, 30.0, 29.2
04.08.2012, 12:00, 29.0, 31.4
04.08.2012, 15:00, 28.3, 30.7
04.08.2012, 18:00, 26.4, 27.2
04.08.2012, 21:00, 24.4, 22.4
05.08.2012, 00:00, 22.9, 20.2
05.08.2012, 03:00, 22.2, 20.4
05.08.2012, 06:00, 25.7, 23.6
05.08.2012, 09:00, 29.3, 29.0
05.08.2012, 12:00, 28.8, 30.9
05.08.2012, 15:00, 30.6, 30.7
05.08.2012, 18:00, 26.7, 27.4
05.08.2012, 21:00, 23.7, 24.7
06.08.2012, 00:00, 22.0, 22.0
06.08.2012, 03:00,    n, 20.0
06.08.2012, 06:00,    n, 24.8
06.08.2012, 09:00,    n, 30.7
06.08.2012, 12:00,    n, 32.8
06.08.2012, 15:00,    n, 33.2
06.08.2012, 18:00,    n, 29.1
06.08.2012, 21:00,    n, 23.6
07.08.2012, 00:00,    n, 21.3
07.08.2012, 03:00, 22.9, 19.7
07.08.2012, 06:00, 26.8, 27.6
07.08.2012, 09:00, 33.3, 33.9
07.08.2012, 12:00, 36.6, 36.4
07.08.2012, 15:00, 32.0, 35.2
07.08.2012, 18:00, 28.1, 28.7
07.08.2012, 21:00, 24.8, 24.3
08.08.2012, 00:00, 20.6, 20.4
08.08.2012, 03:00, 19.2, 18.4
08.08.2012, 06:00, 21.3, 21.0
08.08.2012, 09:00, 25.9, 25.3
