      DATE,  TIME,  Fcst,  Obs
02.10.2018, 03:00,   9.9,  9.2
02.10.2018, 06:00,  10.0, 10.0
02.10.2018, 09:00,  13.4, 13.9
02.10.2018, 12:00,  16.0, 15.6
02.10.2018, 15:00,  16.0, 14.7
02.10.2018, 18:00,  14.2, 11.1
02.10.2018, 21:00,  10.4,  9.6
03.10.2018, 00:00,   9.1, 10.5
03.10.2018, 03:00,   9.7, 10.9
03.10.2018, 06:00,   9.6,  9.3
03.10.2018, 09:00,  12.2, 12.0
03.10.2018, 12:00,  11.0, 11.0
03.10.2018, 15:00,  10.4, 11.4
03.10.2018, 18:00,   8.6,  9.9
03.10.2018, 21:00,   7.6,  7.5
04.10.2018, 00:00,   6.8,  6.8
04.10.2018, 03:00,   7.5,  8.0
04.10.2018, 06:00,   7.8,  8.4
04.10.2018, 09:00,   9.8, 10.5
04.10.2018, 12:00,  10.4,  8.4
04.10.2018, 15:00,   9.5, 10.6
04.10.2018, 18:00,   8.8,  8.5
04.10.2018, 21:00,   6.4,  7.0
05.10.2018, 00:00,   5.3,  5.7
05.10.2018, 03:00,   3.5,  4.3
05.10.2018, 06:00,   6.1,  5.2
05.10.2018, 09:00,  10.9, 11.3
05.10.2018, 12:00,  13.2, 14.3
05.10.2018, 15:00,  11.4, 13.2
05.10.2018, 18:00,   8.9,  9.0
05.10.2018, 21:00,   7.3,  8.3
06.10.2018, 00:00,   6.2,  8.6
06.10.2018, 03:00,   5.5,  5.4
06.10.2018, 06:00,   9.4,  7.5
06.10.2018, 09:00,  14.8, 15.7
06.10.2018, 12:00,  17.4, 17.9
06.10.2018, 15:00,  15.0, 16.0
06.10.2018, 18:00,  11.9, 12.5
06.10.2018, 21:00,  10.5, 10.4
07.10.2018, 00:00,   9.2,  9.6
07.10.2018, 03:00,   8.1,  8.7
07.10.2018, 06:00,  11.2, 10.2
07.10.2018, 09:00,  15.8, 16.3
07.10.2018, 12:00,  18.2, 19.0
07.10.2018, 15:00,  15.4, 17.0
07.10.2018, 18:00,  12.3, 13.2
07.10.2018, 21:00,  10.2, 11.1
08.10.2018, 00:00,   9.1, 10.0
08.10.2018, 03:00,   8.4,  8.0
08.10.2018, 06:00,  11.8, 11.2
08.10.2018, 09:00,  17.6, 16.6
08.10.2018, 12:00,  20.7, 18.6
08.10.2018, 15:00,  18.0, 15.5
08.10.2018, 18:00,  14.2, 12.6
08.10.2018, 21:00,  12.3, 10.1
09.10.2018, 00:00,  11.4,  8.0
09.10.2018, 03:00,   7.4,  7.3
09.10.2018, 06:00,   8.6,  7.2
09.10.2018, 09:00,  11.4,  7.0
09.10.2018, 12:00,  12.5,  7.4
09.10.2018, 15:00,  11.9,  7.3
09.10.2018, 18:00,   9.5,  5.5
09.10.2018, 21:00,   7.6,  4.5
10.10.2018, 00:00,   6.1,  4.0
10.10.2018, 03:00,   4.6,  3.7
10.10.2018, 06:00,   7.9,  5.2
10.10.2018, 09:00,  13.2, 11.6
10.10.2018, 12:00,  15.8, 15.1
10.10.2018, 15:00,  13.9, 13.2
10.10.2018, 18:00,  11.1,  9.5
10.10.2018, 21:00,   9.5,  9.4
11.10.2018, 00:00,   7.7,  8.5
11.10.2018, 03:00,   5.9,  9.0
11.10.2018, 06:00,   9.0,  9.5
11.10.2018, 09:00,  14.6, 16.1
11.10.2018, 12:00,  16.9, 17.4
