      DATE,  TIME,  Fcst, Obs
02.11.2018, 03:00,   4.6,   4
02.11.2018, 06:00,   5.5,   4
02.11.2018, 09:00,   5.5,   4
02.11.2018, 12:00,   5.2,   2
02.11.2018, 15:00,   3.9,   3
02.11.2018, 18:00,   4.9,   2
02.11.2018, 21:00,   4.2,   3
03.11.2018, 00:00,   3.7,   2
03.11.2018, 03:00,   3.3,   3
03.11.2018, 06:00,   3.7,   3
03.11.2018, 09:00,   4.0,   4
03.11.2018, 12:00,   4.3,   4
03.11.2018, 15:00,   3.2,   1
03.11.2018, 18:00,   3.1,   1
03.11.2018, 21:00,   2.9,   2
04.11.2018, 00:00,   2.7,   0
04.11.2018, 03:00,   2.5,   1
04.11.2018, 06:00,   2.0,   2
04.11.2018, 09:00,   1.3,   1
04.11.2018, 12:00,   0.8,   1
04.11.2018, 15:00,   0.8,   1
04.11.2018, 18:00,   2.6,   0
04.11.2018, 21:00,   2.5,   2
05.11.2018, 00:00,   2.4,   1
05.11.2018, 03:00,   2.4,   1
05.11.2018, 06:00,   3.4,   2
05.11.2018, 09:00,   3.5,   2
05.11.2018, 12:00,   4.0,   1
05.11.2018, 15:00,   3.6,   2
05.11.2018, 18:00,   3.9,   0
05.11.2018, 21:00,   3.9,   2
06.11.2018, 00:00,   3.6,   n
06.11.2018, 03:00,   2.5,   n
06.11.2018, 06:00,   2.5,   n
06.11.2018, 09:00,   3.2,   n
06.11.2018, 12:00,   3.7,   n
06.11.2018, 15:00,   3.0,   n
06.11.2018, 18:00,   3.3,   n
06.11.2018, 21:00,   2.9,   n
07.11.2018, 00:00,   2.6,   1
07.11.2018, 03:00,   2.3,   2
07.11.2018, 06:00,   1.9,   0
07.11.2018, 09:00,   2.5,   2
07.11.2018, 12:00,   3.6,   2
07.11.2018, 15:00,   3.1,   2
07.11.2018, 18:00,   3.2,   3
07.11.2018, 21:00,   2.9,   2
08.11.2018, 00:00,   2.5,   1
08.11.2018, 03:00,   2.0,   0
08.11.2018, 06:00,   1.9,   0
08.11.2018, 09:00,   1.7,   1
08.11.2018, 12:00,   2.4,   2
08.11.2018, 15:00,   2.3,   1
08.11.2018, 18:00,   2.8,   2
08.11.2018, 21:00,   2.8,   2
09.11.2018, 00:00,   2.4,   0
09.11.2018, 03:00,   1.9,   1
09.11.2018, 06:00,   1.7,   0
09.11.2018, 09:00,   1.8,   2
09.11.2018, 12:00,   2.0,   2
09.11.2018, 15:00,   2.1,   2
09.11.2018, 18:00,   2.6,   2
09.11.2018, 21:00,   2.5,   2
10.11.2018, 00:00,   2.4,   0
10.11.2018, 03:00,   2.2,   0
10.11.2018, 06:00,   2.1,   1
10.11.2018, 09:00,   1.7,   1
10.11.2018, 12:00,   2.2,   2
10.11.2018, 15:00,   2.6,   1
10.11.2018, 18:00,   2.8,   1
10.11.2018, 21:00,   2.4,   2
11.11.2018, 00:00,   2.5,   2
11.11.2018, 03:00,   2.4,   3
11.11.2018, 06:00,   3.5,   3
11.11.2018, 09:00,   5.1,   2
11.11.2018, 12:00,   6.2,   2
11.11.2018, 15:00,   4.7,   4
11.11.2018, 18:00,   6.3,   3
11.11.2018, 21:00,   6.8,   3
12.11.2018, 00:00,   5.5,   3
12.11.2018, 03:00,   5.4,   3
12.11.2018, 06:00,   5.7,   3
12.11.2018, 09:00,   6.2,   4
12.11.2018, 12:00,   5.4,   3
12.11.2018, 15:00,   4.7,   3
12.11.2018, 18:00,   4.8,   2
12.11.2018, 21:00,   4.1,   2
13.11.2018, 00:00,   3.2,   1
13.11.2018, 03:00,   3.2,   1
13.11.2018, 06:00,   3.8,   1
13.11.2018, 09:00,   3.9,   2
13.11.2018, 12:00,   4.0,   3
13.11.2018, 15:00,   3.5,   2
13.11.2018, 18:00,   3.6,   2
13.11.2018, 21:00,   3.6,   4
14.11.2018, 00:00,   3.7,   3
14.11.2018, 03:00,   4.5,   4
14.11.2018, 06:00,   5.2,   5
14.11.2018, 09:00,   5.5,   5
14.11.2018, 12:00,   4.7,   4
14.11.2018, 15:00,   3.3,   4
14.11.2018, 18:00,   2.7,   3
14.11.2018, 21:00,   2.7,   4
15.11.2018, 00:00,   2.6,   2
15.11.2018, 03:00,   3.8,   1
15.11.2018, 06:00,   3.9,   2
15.11.2018, 09:00,   3.6,   2
15.11.2018, 12:00,   3.5,   0
15.11.2018, 15:00,   3.0,   2
15.11.2018, 18:00,   3.5,   2
15.11.2018, 21:00,   3.1,   2
16.11.2018, 00:00,   3.0,   n
16.11.2018, 03:00,   3.7,   n
16.11.2018, 06:00,   4.1,   4
16.11.2018, 09:00,   4.3,   3
16.11.2018, 12:00,   4.7,   3
16.11.2018, 15:00,   4.6,   3
16.11.2018, 18:00,   4.1,   3
16.11.2018, 21:00,   3.3,   3
17.11.2018, 00:00,   3.4,   3
17.11.2018, 03:00,   3.5,   3
17.11.2018, 06:00,   3.5,   2
17.11.2018, 09:00,   2.9,   2
17.11.2018, 12:00,   3.2,   2
17.11.2018, 15:00,   3.0,   2
17.11.2018, 18:00,   2.1,   1
17.11.2018, 21:00,   1.6,   2
18.11.2018, 00:00,   1.6,   1
18.11.2018, 03:00,   1.9,   2
18.11.2018, 06:00,   2.2,   3
18.11.2018, 09:00,   1.3,   2
18.11.2018, 12:00,   1.3,   1
18.11.2018, 15:00,   1.7,   2
18.11.2018, 18:00,   0.8,   2
18.11.2018, 21:00,   0.7,   0
19.11.2018, 00:00,   1.5,   1
19.11.2018, 03:00,   2.0,   1
19.11.2018, 06:00,   2.5,   2
19.11.2018, 09:00,   2.9,   2
19.11.2018, 12:00,   3.7,   2
19.11.2018, 15:00,   4.3,   3
19.11.2018, 18:00,   4.2,   3
19.11.2018, 21:00,   4.2,   4
20.11.2018, 00:00,   4.2,   4
20.11.2018, 03:00,   4.5,   3
20.11.2018, 06:00,   4.5,   4
20.11.2018, 09:00,   3.9,   4
20.11.2018, 12:00,   4.1,   3
20.11.2018, 15:00,   3.5,   4
20.11.2018, 18:00,   2.4,   1
20.11.2018, 21:00,   2.2,   3
21.11.2018, 00:00,   2.6,   1
21.11.2018, 03:00,   2.0,   1
21.11.2018, 06:00,   2.2,   1
21.11.2018, 09:00,   1.7,   2
21.11.2018, 12:00,   1.8,   2
21.11.2018, 15:00,   1.5,   3
21.11.2018, 18:00,   1.9,   3
21.11.2018, 21:00,   2.2,   2
22.11.2018, 00:00,   2.6,   3
22.11.2018, 03:00,   1.9,   1
22.11.2018, 06:00,   2.5,   2
22.11.2018, 09:00,   2.9,   2
22.11.2018, 12:00,   3.4,   2
22.11.2018, 15:00,   3.5,   2
22.11.2018, 18:00,   3.6,   2
22.11.2018, 21:00,   3.5,   3
23.11.2018, 00:00,   3.5,   3
23.11.2018, 03:00,   3.6,   2
23.11.2018, 06:00,   2.9,   2
23.11.2018, 09:00,   1.6,   2
23.11.2018, 12:00,   1.1,   1
23.11.2018, 15:00,   1.8,   2
23.11.2018, 18:00,   2.2,   2
23.11.2018, 21:00,   3.3,   2
24.11.2018, 00:00,   3.7,   3
24.11.2018, 03:00,   3.4,   3
24.11.2018, 06:00,   3.6,   3
24.11.2018, 09:00,   3.7,   3
24.11.2018, 12:00,   3.8,   3
24.11.2018, 15:00,   3.7,   3
24.11.2018, 18:00,   3.5,   4
24.11.2018, 21:00,   2.8,   3
25.11.2018, 00:00,   3.6,   2
25.11.2018, 03:00,   2.4,   1
25.11.2018, 06:00,   2.9,   1
25.11.2018, 09:00,   3.0,   2
25.11.2018, 12:00,   2.7,   2
25.11.2018, 15:00,   3.0,   2
25.11.2018, 18:00,   3.3,   2
25.11.2018, 21:00,   2.8,   1
26.11.2018, 00:00,   2.3,   1
26.11.2018, 03:00,   1.1,   0
26.11.2018, 06:00,   0.7,   0
26.11.2018, 09:00,   1.9,   2
26.11.2018, 12:00,   2.7,   2
26.11.2018, 15:00,   4.4,   0
26.11.2018, 18:00,   5.0,   0
26.11.2018, 21:00,   5.0,   0
27.11.2018, 00:00,   5.6,   0
27.11.2018, 03:00,   5.5,   0
27.11.2018, 06:00,   5.7,   0
27.11.2018, 09:00,   5.8,   3
27.11.2018, 12:00,   5.0,   4
27.11.2018, 15:00,   4.1,   4
27.11.2018, 18:00,   3.9,   4
27.11.2018, 21:00,   3.2,   4
28.11.2018, 00:00,   3.6,   4
28.11.2018, 03:00,   4.5,   2
28.11.2018, 06:00,   5.0,   3
28.11.2018, 09:00,   4.9,   3
28.11.2018, 12:00,   4.1,   3
28.11.2018, 15:00,   4.1,   3
28.11.2018, 18:00,   4.3,   4
28.11.2018, 21:00,   4.7,   4
29.11.2018, 00:00,   3.8,   3
29.11.2018, 03:00,   4.6,   3
29.11.2018, 06:00,   4.0,   4
29.11.2018, 09:00,   2.6,   4
29.11.2018, 12:00,   2.9,   3
29.11.2018, 15:00,   3.1,   2
29.11.2018, 18:00,   3.1,   1
29.11.2018, 21:00,   2.9,   2
30.11.2018, 00:00,   3.0,   2
30.11.2018, 03:00,   3.4,   2
30.11.2018, 06:00,   3.2,   2
30.11.2018, 09:00,   4.0,   2
30.11.2018, 12:00,   4.2,   3
30.11.2018, 15:00,   4.0,   3
30.11.2018, 18:00,   4.6,   4
30.11.2018, 21:00,   4.5,   3
01.12.2018, 00:00,   4.3,   3
01.12.2018, 03:00,   3.9,   3
01.12.2018, 06:00,   3.5,   2
01.12.2018, 09:00,   4.0,   2
01.12.2018, 12:00,   2.8,   2
01.12.2018, 15:00,   2.2,   1
01.12.2018, 18:00,   0.9,   0
01.12.2018, 21:00,   3.1,   1
02.12.2018, 00:00,   4.1,   2
02.12.2018, 03:00,   3.4,   2
02.12.2018, 06:00,   3.6,   2
02.12.2018, 09:00,   3.3,   3
02.12.2018, 12:00,   2.8,   3
02.12.2018, 15:00,   2.6,   3
02.12.2018, 18:00,   3.1,   3
02.12.2018, 21:00,   3.6,   2
03.12.2018, 00:00,   3.7,   3
03.12.2018, 03:00,   3.4,   3
03.12.2018, 06:00,   3.5,   4
03.12.2018, 09:00,   5.4,   3
03.12.2018, 12:00,   5.7,   3
03.12.2018, 15:00,   5.8,   3
03.12.2018, 18:00,   6.0,   2
03.12.2018, 21:00,   5.6,   3
04.12.2018, 00:00,   5.0,   4
04.12.2018, 03:00,   4.9,   3
04.12.2018, 06:00,   4.7,   3
04.12.2018, 09:00,   4.0,   4
04.12.2018, 12:00,   3.6,   3
04.12.2018, 15:00,   4.0,   3
04.12.2018, 18:00,   3.9,   3
04.12.2018, 21:00,   4.2,   2
05.12.2018, 00:00,   4.7,   2
05.12.2018, 03:00,   3.4,   3
05.12.2018, 06:00,   2.9,   3
05.12.2018, 09:00,   1.4,   1
05.12.2018, 12:00,   3.8,   2
05.12.2018, 15:00,   4.4,   3
05.12.2018, 18:00,   5.4,   4
05.12.2018, 21:00,   5.4,   4
06.12.2018, 00:00,   5.1,   4
06.12.2018, 03:00,   4.7,   4
06.12.2018, 06:00,   4.7,   4
06.12.2018, 09:00,   4.8,   3
06.12.2018, 12:00,   4.5,   4
06.12.2018, 15:00,   4.3,   3
06.12.2018, 18:00,   4.0,   4
06.12.2018, 21:00,   3.8,   3
07.12.2018, 00:00,   4.0,   4
07.12.2018, 03:00,   3.2,   2
07.12.2018, 06:00,   2.9,   2
07.12.2018, 09:00,   2.5,   1
07.12.2018, 12:00,   2.2,   2
07.12.2018, 15:00,   2.0,   2
07.12.2018, 18:00,   2.8,   3
07.12.2018, 21:00,   3.3,   3
08.12.2018, 00:00,   3.9,   3
08.12.2018, 03:00,   4.3,   3
08.12.2018, 06:00,   5.8,   3
08.12.2018, 09:00,   6.0,   4
08.12.2018, 12:00,   5.6,   4
08.12.2018, 15:00,   4.7,   3
08.12.2018, 18:00,   4.9,   4
08.12.2018, 21:00,   4.0,   3
09.12.2018, 00:00,   3.7,   3
09.12.2018, 03:00,   3.4,   3
09.12.2018, 06:00,   2.8,   2
09.12.2018, 09:00,   3.2,   2
09.12.2018, 12:00,   3.5,   2
09.12.2018, 15:00,   4.0,   1
09.12.2018, 18:00,   4.2,   2
09.12.2018, 21:00,   4.5,   3
10.12.2018, 00:00,   4.7,   3
10.12.2018, 03:00,   3.1,   3
10.12.2018, 06:00,   3.6,   2
10.12.2018, 09:00,   3.6,   3
10.12.2018, 12:00,   3.2,   2
10.12.2018, 15:00,   2.3,   1
10.12.2018, 18:00,   2.0,   1
10.12.2018, 21:00,   1.7,   2
11.12.2018, 00:00,   1.5,   0
11.12.2018, 03:00,   1.8,   1
11.12.2018, 06:00,   2.4,   1
11.12.2018, 09:00,   1.0,   1
11.12.2018, 12:00,   0.8,   2
11.12.2018, 15:00,   1.4,   2
11.12.2018, 18:00,   1.9,   2
11.12.2018, 21:00,   3.1,   2
12.12.2018, 00:00,   4.3,   3
12.12.2018, 03:00,   3.5,   4
12.12.2018, 06:00,   5.8,   4
12.12.2018, 09:00,   6.3,   4
12.12.2018, 12:00,   6.1,   5
12.12.2018, 15:00,   6.0,   6
12.12.2018, 18:00,   5.8,   5
12.12.2018, 21:00,   5.4,   3
13.12.2018, 00:00,   5.1,   3
13.12.2018, 03:00,   4.9,   2
13.12.2018, 06:00,   4.7,   2
13.12.2018, 09:00,   4.6,   2
13.12.2018, 12:00,   4.2,   2
13.12.2018, 15:00,   3.8,   2
13.12.2018, 18:00,   4.8,   2
13.12.2018, 21:00,   4.4,   2
14.12.2018, 00:00,   3.8,   2
14.12.2018, 03:00,   4.7,   3
14.12.2018, 06:00,   4.1,   3
14.12.2018, 09:00,   4.2,   3
14.12.2018, 12:00,   4.1,   3
14.12.2018, 15:00,   3.2,   2
14.12.2018, 18:00,   2.3,   2
14.12.2018, 21:00,   2.3,   2
15.12.2018, 00:00,   2.1,   2
15.12.2018, 03:00,   3.1,   2
15.12.2018, 06:00,   2.5,   3
15.12.2018, 09:00,   2.3,   2
15.12.2018, 12:00,   3.3,   2
15.12.2018, 15:00,   2.1,   2
15.12.2018, 18:00,   3.9,   2
15.12.2018, 21:00,   3.4,   2
16.12.2018, 00:00,   3.8,   3
16.12.2018, 03:00,   3.8,   2
16.12.2018, 06:00,   4.8,   3
16.12.2018, 09:00,   5.8,   3
16.12.2018, 12:00,   5.5,   3
16.12.2018, 15:00,   4.8,   3
16.12.2018, 18:00,   5.2,   3
16.12.2018, 21:00,   4.9,   4
17.12.2018, 00:00,   5.3,   2
17.12.2018, 03:00,   5.3,   2
17.12.2018, 06:00,   4.8,   3
17.12.2018, 09:00,   5.0,   3
17.12.2018, 12:00,   4.5,   3
17.12.2018, 15:00,   4.3,   2
17.12.2018, 18:00,   4.4,   2
17.12.2018, 21:00,   4.1,   2
18.12.2018, 00:00,   3.5,   2
18.12.2018, 03:00,   3.1,   2
18.12.2018, 06:00,   2.5,   2
18.12.2018, 09:00,   2.5,   1
18.12.2018, 12:00,   2.5,   1
18.12.2018, 15:00,   3.1,   2
18.12.2018, 18:00,   3.5,   2
18.12.2018, 21:00,   2.4,   2
19.12.2018, 00:00,   2.3,   2
19.12.2018, 03:00,   2.8,   2
19.12.2018, 06:00,   2.4,   2
19.12.2018, 09:00,   2.4,   2
19.12.2018, 12:00,   2.6,   2
19.12.2018, 15:00,   2.3,   3
19.12.2018, 18:00,   2.3,   1
19.12.2018, 21:00,   2.1,   1
20.12.2018, 00:00,   1.6,   1
20.12.2018, 03:00,   2.2,   1
20.12.2018, 06:00,   2.0,   2
20.12.2018, 09:00,   1.8,   3
20.12.2018, 12:00,   2.3,   2
20.12.2018, 15:00,   2.5,   3
20.12.2018, 18:00,   3.2,   3
20.12.2018, 21:00,   3.5,   3
21.12.2018, 00:00,   4.3,   3
21.12.2018, 03:00,   4.4,   2
21.12.2018, 06:00,   4.3,   2
21.12.2018, 09:00,   4.2,   2
21.12.2018, 12:00,   4.1,   3
21.12.2018, 15:00,   3.3,   2
21.12.2018, 18:00,   3.6,   2
21.12.2018, 21:00,   3.6,   3
22.12.2018, 00:00,   4.0,   3
22.12.2018, 03:00,   4.2,   3
22.12.2018, 06:00,   5.8,   3
22.12.2018, 09:00,   7.9,   4
22.12.2018, 12:00,   6.9,   4
