      DATE,  TIME, Fcst,  Obs
01.07.2012, 03:00, 17.1, 14.6
01.07.2012, 06:00, 20.1, 22.3
01.07.2012, 09:00, 24.1, 24.1
01.07.2012, 12:00, 25.7, 24.9
01.07.2012, 15:00, 24.9, 25.9
01.07.2012, 18:00, 21.5,   23
01.07.2012, 21:00, 19.5, 16.2
02.07.2012, 00:00, 17.6,    n
02.07.2012, 03:00, 17.4,    n
02.07.2012, 06:00, 22.0, 23.3
02.07.2012, 09:00, 26.7,   27
02.07.2012, 12:00, 28.8, 28.3
02.07.2012, 15:00, 28.2, 29.3
02.07.2012, 18:00, 25.3, 23.7
02.07.2012, 21:00, 22.9, 18.6
03.07.2012, 00:00, 20.5,   18
03.07.2012, 03:00, 20.3, 19.2
03.07.2012, 06:00, 24.1, 25.7
03.07.2012, 09:00, 28.7, 30.3
03.07.2012, 12:00, 30.6, 31.3
03.07.2012, 15:00, 29.3, 30.6
03.07.2012, 18:00, 25.4, 26.7
03.07.2012, 21:00, 22.9, 22.7
04.07.2012, 00:00, 22.2, 20.9
04.07.2012, 03:00, 22.3, 20.7
04.07.2012, 06:00, 23.1, 24.3
04.07.2012, 09:00, 25.2, 28.1
04.07.2012, 12:00, 28.9, 30.1
04.07.2012, 15:00, 28.9, 29.8
04.07.2012, 18:00, 25.2, 26.1
04.07.2012, 21:00, 22.7, 22.8
05.07.2012, 00:00, 20.9, 20.5
05.07.2012, 03:00, 20.8, 19.2
05.07.2012, 06:00, 24.2, 24.1
05.07.2012, 09:00, 27.0, 27.3
05.07.2012, 12:00, 29.6, 29.1
05.07.2012, 15:00, 28.4, 29.5
05.07.2012, 18:00, 24.5, 27.5
05.07.2012, 21:00, 22.3, 22.5
06.07.2012, 00:00, 20.6, 20.1
06.07.2012, 03:00, 20.8, 19.8
06.07.2012, 06:00, 25.3, 25.6
06.07.2012, 09:00, 29.1, 29.9
06.07.2012, 12:00, 31.5, 31.6
06.07.2012, 15:00, 31.2, 31.7
06.07.2012, 18:00, 26.6, 27.3
06.07.2012, 21:00, 24.2, 24.1
07.07.2012, 00:00, 22.8, 21.9
07.07.2012, 03:00, 22.7, 20.7
07.07.2012, 06:00, 26.9, 27.1
07.07.2012, 09:00, 31.9, 32.4
07.07.2012, 12:00, 32.4, 27.3
07.07.2012, 15:00, 31.4, 29.7
07.07.2012, 18:00, 27.4, 25.7
07.07.2012, 21:00, 25.5, 22.9
08.07.2012, 00:00, 23.1, 21.1
08.07.2012, 03:00, 23.7,   20
08.07.2012, 06:00, 27.5, 27.1
08.07.2012, 09:00, 27.5, 31.1
08.07.2012, 12:00, 30.0, 32.7
08.07.2012, 15:00, 29.4, 33.1
08.07.2012, 18:00, 27.0, 28.9
08.07.2012, 21:00, 24.4, 24.2
09.07.2012, 00:00, 22.6, 21.3
09.07.2012, 03:00, 23.6, 21.1
09.07.2012, 06:00, 27.0, 27.3
09.07.2012, 09:00, 31.1, 31.7
09.07.2012, 12:00, 32.0, 33.3
09.07.2012, 15:00, 31.7, 32.3
09.07.2012, 18:00, 28.0, 28.9
09.07.2012, 21:00, 25.2, 20.3
10.07.2012, 00:00, 24.4, 19.4
10.07.2012, 03:00, 22.6, 20.5
10.07.2012, 06:00, 26.9, 22.1
10.07.2012, 09:00, 28.3, 26.8
10.07.2012, 12:00, 29.4, 28.3
10.07.2012, 15:00, 29.0, 27.3
10.07.2012, 18:00, 27.2, 24.5
10.07.2012, 21:00, 25.4, 22.1
11.07.2012, 00:00, 23.0, 20.7
11.07.2012, 03:00, 22.5, 20.3
11.07.2012, 06:00, 24.6, 23.5
11.07.2012, 09:00, 27.4, 26.3
11.07.2012, 12:00, 28.4, 24.7
11.07.2012, 15:00, 27.9, 20.3
11.07.2012, 18:00, 25.3, 20.7
11.07.2012, 21:00, 23.3, 19.8
12.07.2012, 00:00, 21.9, 19.2
12.07.2012, 03:00, 20.9, 19.3
12.07.2012, 06:00, 22.0, 21.1
12.07.2012, 09:00, 23.5, 25.5
12.07.2012, 12:00, 26.6, 27.1
12.07.2012, 15:00, 27.2, 28.3
12.07.2012, 18:00, 25.3, 24.7
12.07.2012, 21:00, 23.3,   20
13.07.2012, 00:00, 21.5,   19
13.07.2012, 03:00, 20.8,   19
13.07.2012, 06:00, 21.4, 20.9
13.07.2012, 09:00, 24.5, 24.3
13.07.2012, 12:00, 26.0, 26.3
13.07.2012, 15:00, 25.3, 25.9
13.07.2012, 18:00, 22.1, 22.3
13.07.2012, 21:00, 19.5, 15.8
14.07.2012, 00:00, 17.6, 14.1
14.07.2012, 03:00, 17.4, 15.2
14.07.2012, 06:00, 21.9, 22.3
14.07.2012, 09:00, 25.6, 26.3
14.07.2012, 12:00, 27.9, 23.3
14.07.2012, 15:00, 28.1, 27.5
14.07.2012, 18:00, 24.1, 24.7
14.07.2012, 21:00, 22.0, 20.3
15.07.2012, 00:00, 21.3, 19.8
15.07.2012, 03:00,    n, 20.3
15.07.2012, 06:00,    n, 23.4
15.07.2012, 09:00,    n, 29.7
15.07.2012, 12:00,    n, 22.6
15.07.2012, 15:00,    n, 22.2
15.07.2012, 18:00,    n, 21.9
15.07.2012, 21:00,    n, 21.1
16.07.2012, 00:00,    n, 18.6
16.07.2012, 03:00, 20.2, 18.2
16.07.2012, 06:00, 19.6, 21.9
16.07.2012, 09:00, 23.3, 23.5
16.07.2012, 12:00, 25.1, 23.5
16.07.2012, 15:00, 24.9, 24.3
16.07.2012, 18:00, 21.6, 20.8
16.07.2012, 21:00, 19.3, 18.2
17.07.2012, 00:00, 18.0, 16.6
17.07.2012, 03:00, 17.9, 14.8
17.07.2012, 06:00, 19.4,   18
17.07.2012, 09:00, 21.6, 21.5
17.07.2012, 12:00, 22.1, 22.3
17.07.2012, 15:00, 21.5, 22.5
17.07.2012, 18:00, 18.2, 19.6
17.07.2012, 21:00, 16.0, 16.2
18.07.2012, 00:00, 14.5, 14.4
18.07.2012, 03:00, 15.6, 14.2
18.07.2012, 06:00, 17.5, 17.3
18.07.2012, 09:00, 19.7, 19.4
18.07.2012, 12:00, 19.1, 22.2
18.07.2012, 15:00, 21.3, 20.7
18.07.2012, 18:00, 17.9, 17.2
18.07.2012, 21:00, 14.9,   14
19.07.2012, 00:00, 13.3, 11.8
19.07.2012, 03:00, 14.1, 12.2
19.07.2012, 06:00, 18.2, 18.7
19.07.2012, 09:00, 21.9, 23.3
19.07.2012, 12:00, 22.9, 24.5
19.07.2012, 15:00, 23.6, 25.3
19.07.2012, 18:00, 22.8, 21.9
19.07.2012, 21:00, 21.0, 18.4
20.07.2012, 00:00, 20.4, 18.4
20.07.2012, 03:00, 19.5,   19
20.07.2012, 06:00, 18.0, 20.7
20.07.2012, 09:00, 23.6, 22.3
20.07.2012, 12:00, 26.5, 24.4
20.07.2012, 15:00, 24.9, 25.5
20.07.2012, 18:00, 21.1, 22.1
20.07.2012, 21:00, 18.3, 16.6
21.07.2012, 00:00, 16.3,   14
21.07.2012, 03:00, 16.8, 14.6
21.07.2012, 06:00, 20.4, 21.1
21.07.2012, 09:00, 23.0, 23.7
